new file \n Binary files / dev / null and b / art / intro . png differ \n,Added intro image .,repo70
proguard - project . txt \n - keep class biz . bokhorst . xprivacy . XPrivacy { * ; } \n - keepnames class biz . bokhorst . xprivacy . X * { } \n - - keepnames class biz . bokhorst . xprivacy . Util \n - keepclassmembers class biz . bokhorst . xprivacy . Util { public static boolean isXposedEnabled ( ) ; } \n,"Revert "" Keep util class ( support info ) """,repo561
pom . xml \n - < version > 0 . 5 . 0 - dev < / version > \n + < version > 0 . 4 . 0 - T1 < / version > \n,Updates hcatalog sep version from 0 . 5 . 0 - dev to 0 . 4 . 0 - T1,repo858
graphics / java / android / renderscript / RenderScriptGL . java \n + mGCThread = new GCThread ( this ) ; \n + mGCThread . start ( ) ; \n + \n,Add GC thread to RSGL .,repo67
twidere / build . gradle \n - versionCode 122 \n + versionCode 123 \n,updated version code,repo901
preloaded - classes \n - android . server . search . SearchableInfo \n - android . server . search . SearchableInfo $ 1 \n,remove classes from the preloaded list,repo67
platform / platform - resources - en / src / misc / registry . properties \n - appcode . debugger . simulate . dynamic . values = true \n,replace registry key with system property,repo145
Binary files a / assets / Xposed - Disabler - Recovery . zip and b / assets / Xposed - Disabler - Recovery . zip differ \n,updated recovery . zip with better error handling,repo714
python / helpers / pydev / pydevd . py \n + except TypeError : \n + return None \n + \n,Don ' t show strange exceptions on shutdown ( PY - 5417 ) .,repo145
portal - impl / src / content / Language . properties \n + definition = Definition \n + definitions = Definitions \n,LPS - 17756 Don ' t remove keys that are used else where,repo934
sdk / nbproject / platform . properties \n - nbplatform . active = NetBeans_Platform_Dev_ ( Build_platform - stable - 2 - on - 20110828 ) \n + nbplatform . active = default \n,fix platform import,repo728
cruise / emailmap . properties \n - # \n + \n,just to trigger CC,repo565
. travis . yml \n - jdk : oraclejdk7 \n - script : mvn package TARGET \n + script : mvn package $ TARGET \n - mvn clean cobertura : cobertura coveralls : report - Pintegration \n,Added missing escape of the target environment variable .,repo750
src / main / java / com / jjoe64 / graphview / GridLabelRenderer . java \n - return mLabelVerticalSecondScaleWidth ; \n + return mLabelVerticalSecondScaleWidth = = null ? 0 : mLabelVerticalSecondScaleWidth ; \n,refs # 304 fixed crash if background and second scale is used together,repo636
languagetool - language - modules / de / src / main / resources / org / languagetool / resource / de / hunspell / spelling . txt \n + Dekomaterial / S \n + Dekomaterialien \n + Dinkelmehl / DS \n,add words suggested by users,repo989
OsmAnd / src / net / osmand / plus / activities / search / SearchCityByNameActivity . java \n - return obj . getName ( region . getLang ( ) ) ; \n + return getShortText ( obj ) ; \n,Make bilingual text visible for city,repo960
plug / pom . xml \n + < classifier > min < / classifier > \n,update lucene plug use ansj - min,repo282
pom . xml \n - < version > 4 . 1 . 1 < / version > \n + < version > 4 . 2 . 3 < / version > \n,updated httpclient,repo946
build \n - mvn clean package install - DskipTests \n + mvn clean package install \n,run tests in build,repo596
servers / src / main / java / tachyon / master / filesystem / meta / InodeFile . java \n - setComplete ( length ) ; \n + setComplete ( mLength ) ; \n,Fix bug in setLength,repo222
Binary files a / lib / pty4j - 0 . 3 . jar and b / lib / pty4j - 0 . 3 . jar differ \n,Pty4j updated - don ' t close streams in UnixPtyProcess . waitFor ( ),repo145
rename from modules / apps / foundation / server - manager - web / docroot / WEB - INF / src / com / liferay / servermanager / servlet / ServerManagerServlet . java \n rename to modules / apps / foundation / server - admin / server - manager / src / main / java / com / liferay / server / manager / internal / servlet / ServerManagerServlet . java \n,LPS - 65330 Copy ServerManagerServlet,repo934
old mode 100644 \n new mode 100755 \n native / dll_tests / mem_alloc / build_unix \n - gcc - m32 - I / usr / local / cuda / include / mem_alloc . c - o mem_alloc . o \n - gcc - m32 Wl - o mem_alloc mem_alloc . o - lcuda \n + gcc - I / usr / local / cuda / include / mem_alloc . c - lcuda \n,fixing build_unix script in mem_alloc test,repo811
. gitignore \n - # keystore \n + # keystore \n - # OSX files \n + # IntelliJ files \n + . idea \n + * . iml \n + \n + # OSX files \n,added IntelliJ files to .,repo187
src / cpp / session / CMakeLists . txt \n + modules / rmarkdown / SessionRmdNotebook . cpp \n,add missing CMakeLists entry,repo535
Binary files a / lib / portal / wsrp - generated . jar and b / lib / portal / wsrp - generated . jar differ \n,LEP - 7666 Move com . liferay . portal . wsrp to com . liferay . wsrp to prepare for service generation,repo934
Makefile \n + make - C hadoop \n + make - C hadoop clean \n,Make hadoop directory .,repo316
querydsl - lucene / src / main / java / com / mysema / query / lucene / AbstractLuceneQuery . java \n + @ Nullable \n,added Nullable annotation,repo839
CHANGELOG . md \n + * STORM - 1229 : port backtype . storm . metric . testing to java \n,add STORM - 1229 to CHANGELOG,repo137
. hgignore \n - * . class \n,Removed * .,repo895
owncloud - android - library \n - Subproject commit 274e0ec47b5e26ea8b7e2de5418c6a287e72650e \n + Subproject commit 576231023be4859d5901b92700e192db118316ad \n,Decrease lengthin some lines of the library,repo364
"CHANGES \n + - Added iOS ARM - 64 bit support for Bullet physics \n - 3D Animation , NodeAnimation keyframes are separated into translation , rotation and scaling \n - Added capability to enable color markup from inside skin json file . \n - Exposed method ControllerManager # clearListeners on Controllers class \n",Updated CHANGES,repo183
src / main / groovy / servlet / TemplateServlet . java \n + package groovy . servlet ; \n,Put TemplateServlet in the right package,repo524
README . md \n + ! [ nuwa ] ( http : / / 7fviov . com1 . z0 . glb . clouddn . com / nuwa . jpg ) \n + \n,add nuwa image,repo264
app / src / processing / app / contrib / ContributionTab . java \n - * @ param panel1 * / \n + * / \n,corrected documentation,repo185
"actor - server / version . sbt \n - version in ThisBuild : = "" 1 . 0 . 78 - SNAPSHOT "" \n + version in ThisBuild : = "" 1 . 0 . 78 "" \n",setting version to 1 . 0 . 78,repo194
"packager / package . json \n - "" version "" : "" 0 . 1 . 1 "" , \n + "" version "" : "" 0 . 1 . 2 "" , \n",Bump react - native - cli version,repo1
tests / com / goide / parser / GoParserTestBase . java \n - super . doTest ( false ) ; \n + super . doTest ( true ) ; \n,Enable parsing result check,repo121
. gitignore \n + docs / Market Icon . png \n,Ignore a png file that ' s a documentation build artifact .,repo617
"new file \n smalldata / iris / iris_header . csv \n + sepal_len , sepal_wid , petal_len , petal_wid , class \n",Added header file for iris to test h2o . setColNames,repo316
titan - hbase - parent / pom . xml \n + < fileset > \n + < directory > logs / < / directory > \n + < / fileset > \n,Delete HBase daemon logs as part of ` mvn clean `,repo108
testData / refactoring / inlineLocal / Inference . java . after \n - foo ( ( String ) new Inference ( ) . getX ( ) ) ; \n + foo ( new Inference ( ) . < String > getX ( ) ) ; \n,fix test data,repo121
pom . xml \n + < forceSite > false < / forceSite > \n,"Disable additional invocation of site plugin , issue # 821",repo611
externs / es3 . js \n + * @ template T \n,Templatize the definition of Array in externs,repo215
new file \n README . md \n + android - parallax - recycleview \n + = = = = = = = = = = = = = = = = = = = = = = = = = = = = \n + ! [ ParallaxListView ] ( https : / / raw . githubusercontent . com / kanytu / android - parallax - recycleview / master / screenshots / screenshot . gif ) \n,Create README . md,repo906
deleted file \n,Removed redundant directory src / tests from bbb - client,repo428
java / org / apache / catalina / startup / ContextConfig . java \n + entry = jarInputStream . getNextJarEntry ( ) ; \n,Fix infinite loop in r1095367,repo763
new file \n src / com / hazelcast / config / ConfigBuilder . java \n + package com . hazelcast . config ; \n + \n + public interface ConfigBuilder { \n + \n + public abstract void parse ( final Config config ) throws Exception ; \n + \n + } \n,Extracted interface ConfigBuilder from XmlConfigBuilder,repo394
h2o - docs / src / product / flow / packs / index . list \n - test \n,Disabling test directory as slave not able to access hdfs,repo597
"actor - server / version . sbt \n - version in ThisBuild : = "" 1 . 0 . 130 "" \n + version in ThisBuild : = "" 1 . 0 . 131 - SNAPSHOT "" \n",setting version to 1 . 0 . 131 - SNAPSHOT,repo194
gradle . properties \n - VERSION_NAME = 2 . 0 . 7 \n - VERSION_CODE = 20007 \n + VERSION_NAME = 2 . 0 . 8 \n + VERSION_CODE = 20008 \n,Prepared 2 . 0 . 8 release,repo219
pom . xml \n + < include > org . sonarqube . * < / include > \n,Add org . sonarqube .,repo639
core / src / processing / opengl / PGraphicsOpenGL . java \n - if ( smoothDisabled ) return ; \n + if ( smoothDisabled | | PGL . MAX_SAMPLES = = - 1 ) return ; \n,skip smooth setting if the platform doesn ' t have at least a MAX_SAMPLES,UNKNOWN
"app / build . gradle \n - versionCode 8 \n - versionName "" 0 . 0 . 8 "" \n + versionCode 9 \n + versionName "" 0 . 0 . 9 "" \n",Updated version code,repo556
core / java / android / view / GLRenderer . java \n - mGlCanvas . cancelLayerUpdate ( layer ) ; \n + if ( mGlCanvas ! = null ) { \n + mGlCanvas . cancelLayerUpdate ( layer ) ; \n + } \n,Avoid crash if layer is destroyed after GLRenderer,repo67
parent / pom . xml \n + < assembly . skipAssembly > true < / assembly . skipAssembly > \n,set skipAssembly for fastinstall,repo910
gradle . properties \n - VERSION_NAME = 1 . 0 . 1 \n + VERSION_NAME = 1 . 0 . 2 \n,Prepare next development version .,repo179
Binary files a / build / lib / merge / whack . jar and b / build / lib / merge / whack . jar differ \n,"Added new ask attribute to Item and new "" remove "" subscription to Item .",repo947
gradle . properties \n - VERSION_NAME = 1 . 1 . 11 \n + VERSION_NAME = 1 . 1 . 12 - SNAPSHOT \n,prepared for next development iteration,repo144
. gitignore \n + # ignore standard intellij \n + . idea / \n + * . iml \n + * . iws \n + \n,added standard intellij omissions to .,repo604
community / pom . xml \n - < version > 18 < / version > \n + < version > 19 < / version > \n,Upgraded parent version .,repo181
"src / com / google / javascript / jscomp / DiagnosticGroups . java \n + CheckJSDocStyle . INVALID_SUPPRESS , \n",Add INVALID_SUPPRESS to lint checks so it will be reported at the correct level .,UNKNOWN
core - tiger / pom . xml \n - < version > 2 . 0 . 4 < / version > \n + < version > $ { spring . version } < / version > \n,Switched core - tiger module to use standard project spring version .,repo624
test / conf / cassandra . yaml \n + concurrent_compactors : 4 \n,raise default concurrent compactors to 4 to avoid LCS test timeout,repo183
new file \n Binary files / dev / null and b / apk / notes_v2 . 0 . 0_201509130307 . apk differ \n,add apk,repo613
enterprise / ha / src / main / java / org / neo4j / kernel / HighlyAvailableGraphDatabase . java \n + messageLog . close ( ) ; \n,Closes the StringLogger in shutdown ( ) for HA graph db,repo181
version . txt \n - 0 . 87 . 5 \n + 0 . 87 . 6 - SNAPSHOT \n,Prepare next release v0 . 87 . 6 - SNAPSHOT,repo46
"build - openssl - libraries . sh \n - echo "" Toolchain uknown for host system "" \n + echo "" Toolchain unknown for host system "" \n",Fix spelling typo,repo950
test / unit / org / apache / cassandra / cql3 / DeleteTest . java \n - cassandra . stop ( ) ; \n,Fix test compilation,repo183
library - circular / gradle . properties \n - POM_DESCRIPTION = Android Library make smooth circular indeterminate progress bars \n + POM_DESCRIPTION = Android Library to make smooth circular indeterminate progress bars \n - VERSION_NAME = 1 . 2 . 0 - SNAPSHOT \n + VERSION_NAME = 1 . 2 . 0 \n,Set Version name to 1 . 2 . 0,repo158
tests / src / test / java / alluxio / master / JournalIntegrationTest . java \n - \n - \n,Removed extra empty lines to fix the build failure,repo222
build . gradle \n - versionCode = 11244 \n + versionCode = 11245 \n,Push version to 11245 .,repo779
"test . properties \n + # # Product Names \n + # # \n + \n + product . names = \ \n + extra - apps , \ \n + liferay - connected - services , \ \n + marketplace , \ \n + portal , \ \n + social - office \n + \n + # # \n",LRQA - 16067 Add list of product names into test . properties,repo934
rename from py / testdir_single_jvm / test_parse_header_rows_mismatch_fvec . py \n rename to py / testdir_single_jvm / notest_parse_header_rows_mismatch_fvec . py \n,Make notest .,repo316
new file \n CHANGELOG . md \n + Change Log \n + = = = = = = = = = = \n + \n + # # Version 1 . 0 . 0 \n + \n + _2015 - 02 - 18_ \n + \n + * Initial release . \n,Add CHANGELOG . md,repo307
servers / src / main / java / tachyon / master / MasterBase . java \n + protected boolean isLeaderMode ( ) { \n + return mIsLeader ; \n + } \n + \n,remove change from another PR to avoid confusion,repo222
k9mail / src / main / java / com / fsck / k9 / ui / messageview / MessageViewFragment . java \n + getLoaderManager ( ) . destroyLoader ( LOCAL_MESSAGE_LOADER_ID ) ; \n,Add call to destroy finished message loader - fixes # 1227,repo207
Binary files a / tools / liferay - plugins - sdk - 7 . 0 . 0 . zip and b / tools / liferay - plugins - sdk - 7 . 0 . 0 . zip differ \n,LPS - 54867 update SDK,repo934
platform / util / src / com / intellij / openapi / diagnostic / Logger . java \n + / / noinspection ConstantConditions \n,suppress contract validation for wrong Logger . assertTrue,repo145
smali / src / main / antlr3 / org / jf / smali / smaliLexer . g \n - | PRIMITIVE_TYPE_EMIT ; \n + | PRIMITIVE_TYPE_EMIT \n + | VOID_TYPE_EMIT ; \n,Added support for the V type as a literal in annotations,repo718
